קטגוריה,שם מנה,מחיר 
מנות ראשונות,בורקס ברוטב,
מנות ראשונות,בלינצס ברוטב ,
מנות ראשונות,פחזנית,2
מנות ראשונות,דג מושט,8
מנות ראשונות,דג סלמון ,16
מנות ראשונות,מוסקה בשרי,5
מנות ראשונות,מוסקה פרווה ,4
סלטים ,חומוס,1.1
סלטים ,חציל קלוי,1.1
סלטים ,ירקות כבושים,1.1
סלטים ,סלק,1.1
סלטים ,טחינה,1.1
סלטים ,חציל בתחמיץ,1.1
סלטים ,מטבוחה,1.1
סלטים ,עגבניות ערבי,1.1
סלטים ,חומוס+ טחינה,1.1
סלטים ,חציל רומני,1.1
סלטים ,מטבוחה+ זיתים,1.1
סלטים ,"תפו""א",1.1
סלטים ,גזר חי,1.1
סלטים ,חציל פיקנטי,1.1
סלטים ,מטבוחה חריפה,1.1
סלטים ,תירס,1.1
סלטים ,גזר מרוקאי,1.1
סלטים ,חציל בטחינה,1.1
סלטים ,סלט עלים,1.1
סלטים ,פלפל מטוגן,1.1
סלטים ,כרוב וגזר,1.1
סלטים ,חסה+ שרי,1.1
סלטים ,סלט ישראלי,1.1
סלטים ,פלפל חריף,1.1
סלטים ,כרוב סגול,1.1
מנות עיקריות ,כרעיים,10
מנות עיקריות ,סטיק עוף,10
מנות עיקריות ,שניצל מטוגן,12
מנות עיקריות ,רולדה ,12
מנות עיקריות ,רולדה בקר,14
מנות עיקריות ,פרגית,14
מנות עיקריות ,שיפוד משודרג ,14
מנות עיקריות ,בשר  מס 5,18
מנות עיקריות ,אסאדו,18
מנות עיקריות ,בשר מס 4,18
תוספות ,"אורז+ חמוציות תפו""א+ בטטה אפונה",1.5
תוספות ,קוסקוס פסטה בירק אפונה וגזר,1.5
תוספות ,"תפו""א אפוי ירק לקוסקוס לקט ירקות",1.5
תוספות ,"תפו""א מזרחי שעועית בצ'ילי ושומשום ירקות מוקפצים",1.5
תוספות ,אורז+ חמוציות ,1.5
תוספות ,קוסקוס,1.5
תוספות ,"תפו""א אפוי ",1.5
תוספות ,"תפו""א מזרחי",1.5
תוספות ,תפוא  ובטטה,1.5
תוספות ,אפונה,1.5
תוספות ,פסטה בירק,1.5
תוספות ,אפונה וגזר,1.5
תוספות ,שעוועית בצילי,1.5
תוספות ,ירקות מוקפצים,1.5
תוספות ,ירק לקוסקוס ,1.5
תוספות ,לקט ירקות,1.5
לחמניה ,לחמניה,1.5
מנות בר ,"קוגעל תפו""א- מגש חתוך ל 100",150
מנות בר ,קוגעל אטריות- מגש חתוך ל 100,130
מנות בר ,"חמין- מגש כ 10 ק""ג ",120
מנות בר ,"חטיף תפודים- ק""ג ",25
מנות בר ,"טבעות בצל- ק""ג ",32
מנות בר ,סיגרים- יח' ,1.3
מנות בר ,פסטלים- יח' ,1.3
מנות בר ,"בורקס מיני- ק""ג, כ 20 יח' בק""ג ",25
מנות בר ,פלפל ממולא- יח' ,5
מנות בר ,"קוקטייל פירות 3 ק""ג ",38
מנות בר ,כדורי בשר- יח' ,2
מנות בר ,"שניצלונים- ק""ג ",90
מנות בר ,כנפיים בתנור- יח' ,2.3
מנות בר ,"מעורב ירושלמי- ק""ג ",100
מנות בר ,דג סלמון שלם-ללא קישוט ,400
מנות בר ,עוגת בר- 80 פרוסות במגש ,95
קינוח,סופלה,1
קינוח,גלידונית,0.75
